"dr_no","date_rptd","date_occ","time_occ","area_id","area_name","rpt_dist_no","crm_cd","crm_cd_desc","mocodes","vict_age","vict_sex","vict_descent","premis_cd","premis_desc","weapon_used_cd","weapon_desc","status","status_desc","crm_cd_1","crm_cd_2","crm_cd_3","crm_cd_4","location","cross_street","location_1","zipcode","neighborhood","tract","neighborhood_council","longitude","latitude","small_bundle_name"
"190318066","2019-08-03 00:00:00","2019-08-03 00:00:00","1030",NULL,"Southwest",361,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED","0903 1309 0421 1266 0917 2005 0319 1520 2055 2036",48,"F","W",102,"SIDEWALK",511,"VERBAL THREAT","AO ","Adult Other",930,NULL,NULL,NULL,"3700 S LA BREA AV",NULL,"0101000020E6100000499D8026C2965DC05F984C158C024140",90016,"baldwin-hillscrenshaw","236000",79,"-118.3556","34.0199","threats"
"192000786","2019-08-07 00:00:00","2019-08-02 00:00:00","0530",NULL,"Olympic",2024,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329 0903",0,"X","X",118,"CONSTRUCTION SITE",NULL,NULL,"IC ","Invest Cont",740,NULL,NULL,NULL,"3600 WILSHIRE BL",NULL,"0101000020E6100000D6C56D3480935DC04703780B24084140",90020,"koreatown","211802",55,"-118.3047","34.0636","vandalism"
"191515238","2019-08-07 00:00:00","2019-07-31 00:00:00","2100",NULL,"N Hollywood",1549,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0329 0903 1420 2056 1519",37,"F","W",723,"PRIVATE SCHOOL/PRESCHOOL",NULL,NULL,"AA ","Adult Arrest",745,NULL,NULL,NULL,"5500 CAHUENGA BL",NULL,"0101000020E61000004260E5D022975DC0F6285C8FC2154140",91601,"north-hollywood","125310",24,"-118.3615","34.17","vandalism"
"191914102","2019-07-28 00:00:00","2019-07-28 00:00:00","1800",NULL,"Mission",1924,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0329 2053 1528 0903",28,"M","W",501,"SINGLE FAMILY DWELLING",NULL,NULL,"IC ","Invest Cont",745,NULL,NULL,NULL,"12100 EDGECLIFF AV",NULL,"0101000020E610000068226C787A9D5DC077BE9F1A2F254140",91342,"sylmar","106649",5,"-118.4606","34.2905","vandalism"
"190317676","2019-07-28 00:00:00","2019-07-28 00:00:00","1600",NULL,"Southwest",392,624,"BATTERY - SIMPLE ASSAULT","0903 2035 2036 1810 1202 0416",73,"M","B",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA ","Adult Arrest",624,NULL,NULL,NULL,"5100 ARLINGTON AV",NULL,"0101000020E6100000956588635D945DC09D8026C286FF4040",90043,"hyde-park","234501",80,"-118.3182","33.9963","assorted assault"
"192000776","2019-07-28 00:00:00","2019-07-28 00:00:00","1030",NULL,"Olympic",2004,624,"BATTERY - SIMPLE ASSAULT","0903 0416 0429 0444 0448 2035 2036 2042 2044",23,"M","H",519,"SHORT-TERM VACATION RENTAL",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC ","Invest Cont",624,946,NULL,NULL,"600 N OXFORD AV",NULL,"0101000020E6100000C1CAA145B6935DC0A60A4625750A4140",90004,"east-hollywood","192510",55,"-118.308","34.0817","assorted assault"
"190317674","2019-07-28 00:00:00","2019-07-28 00:00:00","1600",NULL,"Southwest",392,624,"BATTERY - SIMPLE ASSAULT","1810 1202 0416 0446 0421 0429 0903 0319 2036",63,"M","W",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA ","Adult Arrest",624,930,NULL,NULL,"5100 ARLINGTON AV",NULL,"0101000020E6100000956588635D945DC09D8026C286FF4040",90043,"hyde-park","234501",80,"-118.3182","33.9963","assorted assault"
"191800705","2019-07-27 00:00:00","2019-07-26 00:00:00","2300",NULL,"Southeast",1836,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0361 2058 1538 0903 0416",38,"F","H",501,"SINGLE FAMILY DWELLING",500,"UNKNOWN WEAPON/OTHER WEAPON","AA ","Adult Arrest",230,946,NULL,NULL,"1400 E 108TH ST",NULL,"0101000020E61000004ED1915CFE8F5DC02B1895D409F84040",90059,"watts","242000",88,"-118.2499","33.9378","assault with a deadly weapon"
"191114157","2019-07-26 00:00:00","2019-07-26 00:00:00","0830",NULL,"Northeast",1134,624,"BATTERY - SIMPLE ASSAULT","2004 0345 0903 2036",61,"M","W",101,"STREET",500,"UNKNOWN WEAPON/OTHER WEAPON","IC ","Invest Cont",624,NULL,NULL,NULL,"EAGLE ROCK BL","AVENUE 31","0101000020E6100000E561A1D6348F5DC02041F163CC0D4140",90065,"glassell-park","186404",39,"-118.2376","34.1078","assorted assault"
"192113349","2019-07-25 00:00:00","2019-07-25 00:00:00","1100",NULL,"Topanga",2156,624,"BATTERY - SIMPLE ASSAULT","1312 1313 2055 0416 0400 0903 1309 1512",25,"M","O",108,"PARKING LOT",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC ","Invest Cont",624,NULL,NULL,NULL,"OWENSMOUTH AV","VICTORY BL","0101000020E61000008351499D80A65DC07FFB3A70CE184140",91303,"canoga-park","134520",13,"-118.6016","34.1938","assorted assault"
"191816478","2019-07-24 00:00:00","2019-07-24 00:00:00","0900",NULL,"Southeast",1821,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","2055 1510 0603 1202 0329 0903 1239",61,"F","B",501,"SINGLE FAMILY DWELLING",500,"UNKNOWN WEAPON/OTHER WEAPON","AA ","Adult Arrest",740,NULL,NULL,NULL,"10100 S HOOVER ST",NULL,"0101000020E61000003C4ED1915C925DC09BE61DA7E8F84040",90044,"vermont-vista","240402",87,"-118.2869","33.9446","vandalism"
"191012618","2019-07-23 00:00:00","2019-07-23 00:00:00","1215",NULL,"West Valley",1067,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0903 0416 0400 1402 0319 1822 0445",34,"M","O",301,"GAS STATION",500,"UNKNOWN WEAPON/OTHER WEAPON","AA ","Adult Arrest",230,998,NULL,NULL,"17600 VENTURA BL",NULL,"0101000020E6100000F853E3A59BA05DC06891ED7C3F154140",91316,"encino","139600",18,"-118.5095","34.166","assault with a deadly weapon"
"191416742","2019-07-24 00:00:00","2019-07-23 00:00:00","2000",NULL,"Pacific",1436,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0903 0311 0329",0,"X","X",102,"SIDEWALK",NULL,NULL,"IC ","Invest Cont",740,NULL,NULL,NULL,"3400 SAWTELLE BL",NULL,"0101000020E61000006C787AA52C9B5DC06E3480B740024140",90066,"mar-vista","271901",67,"-118.4246","34.0176","vandalism"
"191816398","2019-07-23 00:00:00","2019-07-23 00:00:00","1200",NULL,"Southeast",1827,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","2056 1514 0903",51,"M","B",102,"SIDEWALK",307,"VEHICLE","IC ","Invest Cont",230,NULL,NULL,NULL,"9500 BEACH ST",NULL,"0101000020E6100000C139234A7B8F5DC0EFC9C342ADF94040",90002,"watts","242200",88,"-118.2419","33.9506","assault with a deadly weapon"
"190813124","2019-07-23 00:00:00","2019-07-23 00:00:00","1030",NULL,"West LA",842,310,"BURGLARY","1602 1606 2054 1536 0321 0903 0329 0319 0344 0352",56,"M","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",NULL,NULL,"IC ","Invest Cont",310,NULL,NULL,NULL,"1200 BARRY AV",NULL,"0101000020E6100000EF384547729D5DC0CAC342AD69064140",90025,"brentwood","264301",NULL,"-118.4601","34.0501","burglary"
"191113992","2019-07-23 00:00:00","2019-07-22 00:00:00","1900",NULL,"Northeast",1162,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0903 0329",0,"X","X",203,"OTHER BUSINESS",NULL,NULL,"IC ","Invest Cont",745,946,NULL,NULL,"4000 W SUNSET BL",NULL,"0101000020E610000003098A1F63925DC031992A18950C4140",90027,"los-feliz","195300",36,"-118.2873","34.0983","vandalism"
"190317179","2019-07-21 00:00:00","2019-07-21 00:00:00","0900",NULL,"Southwest",317,624,"BATTERY - SIMPLE ASSAULT","0448 0416 1309 1516 2056 0903 2021",40,"M","H",708,"CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA ","Adult Arrest",624,NULL,NULL,NULL,"1400 W ADAMS BL",NULL,"0101000020E6100000BBB88D06F0925DC0B1506B9A77044140",90007,"adams-normandie","221601",771,"-118.2959","34.0349","assorted assault"
"191514226","2019-07-18 00:00:00","2019-07-18 00:00:00","0155",NULL,"N Hollywood",1557,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED","1309 0421 0903 1822 0359 2057 1526 1402",31,"M","O",401,"MINI-MART",511,"VERBAL THREAT","AO ","Adult Other",930,NULL,NULL,NULL,"10600 MAGNOLIA BL",NULL,"0101000020E61000004260E5D022975DC0228E75711B154140",91601,"north-hollywood","125600",28,"-118.3615","34.1649","threats"
"190713784","2019-07-18 00:00:00","2019-07-18 00:00:00","0030",NULL,"Wilshire",769,624,"BATTERY - SIMPLE ASSAULT","1907 0416 0903 2058 1536",40,"M","H",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC ","Invest Cont",624,NULL,NULL,NULL,"1500 ARLINGTON AV",NULL,"0101000020E6100000F1F44A5986945DC0849ECDAACF054140",90019,"arlington-heights","218120",74,"-118.3207","34.0454","assorted assault"
"190713801","2019-07-18 00:00:00","2019-07-17 00:00:00","2215",NULL,"Wilshire",732,624,"BATTERY - SIMPLE ASSAULT","0356 2004 2021 2036 2055 1516 1278 1414 0903",25,"M","H",101,"STREET",500,"UNKNOWN WEAPON/OTHER WEAPON","IC ","Invest Cont",624,NULL,NULL,NULL,"6TH ST","OGDEN DR","0101000020E6100000E5F21FD26F975DC08D976E1283084140",90048,"beverly-grove","214700",58,"-118.3662","34.0665","assorted assault"
"191514050","2019-07-15 00:00:00","2019-07-15 00:00:00","0730",NULL,"N Hollywood",1531,946,"OTHER MISCELLANEOUS CRIME","0400 2057 1528 0903",57,"F","W",102,"SIDEWALK",NULL,NULL,"AA ","Adult Arrest",946,NULL,NULL,NULL,"5400 BABCOCK AV",NULL,"0101000020E6100000E78C28ED0D9A5DC068B3EA73B5154140",91607,"valley-village","124400",25,"-118.4071","34.1696","miscellaneous crimes"
"191514049","2019-07-15 00:00:00","2019-07-15 00:00:00","0730",NULL,"N Hollywood",1531,946,"OTHER MISCELLANEOUS CRIME","1528 0400 2057 0903",0,"F","W",102,"SIDEWALK",NULL,NULL,"AA ","Adult Arrest",946,NULL,NULL,NULL,"5400 BABCOCK AV",NULL,"0101000020E6100000E78C28ED0D9A5DC068B3EA73B5154140",91607,"valley-village","124400",25,"-118.4071","34.1696","miscellaneous crimes"
"190713647","2019-07-14 00:00:00","2019-07-14 00:00:00","1311",NULL,"Wilshire",725,624,"BATTERY - SIMPLE ASSAULT","0903 0416 2056 1520",56,"M","W",103,"ALLEY",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO ","Adult Other",624,NULL,NULL,NULL,"3RD ST","VISTA ST","0101000020E6100000AD69DE718A965DC0B7D100DE02094140",90036,"fairfax","214000",58,"-118.3522","34.0704","assorted assault"
"192013677","2019-07-15 00:00:00","2019-07-13 00:00:00","1500",NULL,"Olympic",2024,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","1402 0329 0903",0,"X","X",730,"SYNAGOGUE/TEMPLE",NULL,NULL,"IC ","Invest Cont",740,946,998,NULL,"3600 WILSHIRE BL",NULL,"0101000020E6100000D6C56D3480935DC04703780B24084140",90020,"koreatown","211802",55,"-118.3047","34.0636","vandalism"
"190615406","2019-07-13 00:00:00","2019-07-13 00:00:00","1320",NULL,"Hollywood",663,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0919 0302 0903",29,"F","W",101,"STREET",102,"HAND GUN","AO ","Adult Other",230,NULL,NULL,NULL,"HIGHLAND","WILLOUGHBY","0101000020E61000003D9B559FAB955DC0A5BDC117260B4140",90038,"hollywood","191901",32,"-118.3386","34.0871","assault with a deadly weapon"
"192100833","2019-07-14 00:00:00","2019-07-13 00:00:00","2200",NULL,"Topanga",2189,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329 0903 0311",50,"M","W",730,"SYNAGOGUE/TEMPLE",NULL,NULL,"IC ","Invest Cont",740,NULL,NULL,NULL,"19800 VENTURA BL",NULL,"0101000020E610000062A1D634EFA45DC0BE30992A18154140",91364,"woodland-hills","137501",16,"-118.5771","34.1648","vandalism"
"191514129","2019-07-16 00:00:00","2019-07-10 00:00:00","0700",NULL,"N Hollywood",1569,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED","2056 2057 1402 0903 0421 0422",49,"M","O",501,"SINGLE FAMILY DWELLING",500,"UNKNOWN WEAPON/OTHER WEAPON","IC ","Invest Cont",930,998,NULL,NULL,"10500 VALLEY SPRING LN",NULL,"0101000020E6100000FB5C6DC5FE965DC0C286A757CA124140",91602,"toluca-lake","143100",28,"-118.3593","34.1468","threats"
"191815710","2019-07-09 00:00:00","2019-07-09 00:00:00","1718",NULL,"Southeast",1826,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0903 0447 2058 1538 0361",36,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",311,"HAMMER","AO ","Adult Other",230,946,NULL,NULL,"9400 FIRTH BL",NULL,"0101000020E6100000569FABADD88F5DC044FAEDEBC0F94040",90002,"watts","242300",88,"-118.2476","33.9512","assault with a deadly weapon"
"191314771","2019-07-09 00:00:00","2019-07-09 00:00:00","1756",NULL,"Newton",1372,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0903 0311 0329 2036",0,"M","O",704,"ELEMENTARY SCHOOL",NULL,NULL,"IC ","Invest Cont",745,NULL,NULL,NULL,"100 E 53RD ST",NULL,"0101000020E6100000F697DD9387915DC0D734EF3845FF4040",90037,"south-park","229410",125,"-118.2739","33.9943","vandalism"
"191815711","2019-07-09 00:00:00","2019-07-09 00:00:00","1930",NULL,"Southeast",1826,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0903 0447 2058 1538 0361",36,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",218,"OTHER CUTTING INSTRUMENT","AO ","Adult Other",230,NULL,NULL,NULL,"9400 FIRTH BL",NULL,"0101000020E6100000569FABADD88F5DC044FAEDEBC0F94040",90002,"watts","242300",88,"-118.2476","33.9512","assault with a deadly weapon"
"191815709","2019-07-10 00:00:00","2019-07-09 00:00:00","1718",NULL,"Southeast",1826,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED","0903 0443 2058 1538",33,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,"VERBAL THREAT","AO ","Adult Other",930,946,NULL,NULL,"9400 FIRTH BL",NULL,"0101000020E6100000569FABADD88F5DC044FAEDEBC0F94040",90002,"watts","242300",88,"-118.2476","33.9512","threats"
"190117925","2019-07-09 00:00:00","2019-07-09 00:00:00","0200",NULL,"Central",162,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED","0421 0903 2055 1516",41,"M","H",702,"OFFICE BUILDING/OFFICE",511,"VERBAL THREAT","IC ","Invest Cont",930,NULL,NULL,NULL,"600 W 7TH ST",NULL,"0101000020E6100000D50968226C905DC0E78C28ED0D064140",90017,"downtown","207710",52,"-118.2566","34.0473","threats"
"192013287","2019-07-07 00:00:00","2019-07-07 00:00:00","1901",NULL,"Olympic",2004,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0903 0329 2004 2031",34,"F","W",122,"VEHICLE, PASSENGER/TRUCK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA ","Adult Arrest",740,946,NULL,NULL,"MELROSE","OXFORD","0101000020E6100000C1CAA145B6935DC0A69BC420B00A4140",90029,"east-hollywood","192510",55,"-118.308","34.0835","vandalism"
"190615781","2019-07-20 00:00:00","2019-07-07 00:00:00","0830",NULL,"Hollywood",629,624,"BATTERY - SIMPLE ASSAULT","0903 0400 2036 0417 0448 0429",43,"M","H",109,"PARK/PLAYGROUND",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC ","Invest Cont",624,NULL,NULL,NULL,"3200 BRONSON CANY",NULL,"0101000020E61000004ED1915CFE935DC01F85EB51B80E4140",90068,"hollywood-hills","189300",30,"-118.3124","34.115","assorted assault"
"191712419","2019-07-05 00:00:00","2019-07-05 00:00:00","1159",NULL,"Devonshire",1743,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED","0443 0903 2036 1501 0913 1803 2035",53,"M","B",501,"SINGLE FAMILY DWELLING",511,"VERBAL THREAT","AO ","Adult Other",930,NULL,NULL,NULL,"18500 DEVONSHIRE ST",NULL,"0101000020E6100000431CEBE236A25DC061C3D32B65214140",91326,"porter-ranch","111206",120,"-118.5346","34.2609","threats"
"190713209","2019-07-05 00:00:00","2019-07-05 00:00:00","0730",NULL,"Wilshire",701,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","2056 1520 0329 0903",56,"M","W",501,"SINGLE FAMILY DWELLING",NULL,NULL,"IC ","Invest Cont",740,NULL,NULL,NULL,"800 N HAYWORTH AV",NULL,"0101000020E610000097900F7A36975DC06DE7FBA9F10A4140",90046,"beverly-grove","194401",58,"-118.3627","34.0855","vandalism"
"192112291","2019-07-03 00:00:00","2019-07-03 00:00:00","1740",NULL,"Topanga",2143,624,"BATTERY - SIMPLE ASSAULT","0416 0903 1822",37,"M","O",108,"PARKING LOT",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC ","Invest Cont",624,946,NULL,NULL,"FALLBROOK AV","VICTORY BL","0101000020E6100000E4141DC9E5A75DC071AC8BDB68184140",91367,"west-hills","135201",16,"-118.6234","34.1907","assorted assault"
"191217402","2019-07-02 00:00:00","2019-07-01 00:00:00","0800",NULL,"77th Street",1218,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0329 0903 2054 1536",62,"M","W",501,"SINGLE FAMILY DWELLING",NULL,NULL,"IC ","Invest Cont",745,946,NULL,NULL,"700 W 53RD ST",NULL,"0101000020E610000035EF384547925DC073D712F241FF4040",90037,"vermont-square","232700",109,"-118.2856","33.9942","vandalism"
"190614699","2019-07-01 00:00:00","2019-07-01 00:00:00","2300",NULL,"Hollywood",676,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0329 0903 1275",0,"X","X",501,"SINGLE FAMILY DWELLING",NULL,NULL,"IC ","Invest Cont",745,NULL,NULL,NULL,"700 COLE AV",NULL,"0101000020E6100000D3BCE3141D955DC0A69BC420B00A4140",90038,"hollywood","191820",32,"-118.3299","34.0835","vandalism"
"191815145","2019-06-30 00:00:00","2019-06-30 00:00:00","0800",NULL,"Southeast",1841,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0408 0903 2058 1536",27,"M","B",518,"TRANSITIONAL HOUSING/HALFWAY HOUSE",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC ","Invest Cont",230,NULL,NULL,NULL,"800 W IMPERIAL HY",NULL,"0101000020E61000009FABADD85F925DC0E4141DC9E5F74040",90044,"vermont-vista","241202",87,"-118.2871","33.9367","assault with a deadly weapon"
"191415186","2019-07-01 00:00:00","2019-06-30 00:00:00","1940",NULL,"Pacific",1407,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED","2031 0421 0903 2057 1526",21,"M","O",202,"LIQUOR STORE",511,"VERBAL THREAT","IC ","Invest Cont",930,NULL,NULL,NULL,"10000 NATIONAL BL",NULL,"0101000020E61000004B598638D6995DC024287E8CB9034140",90034,"palms","269907",115,"-118.4037","34.0291","threats"
"191513301","2019-06-29 00:00:00","2019-06-29 00:00:00","0840",NULL,"N Hollywood",1515,625,"OTHER ASSAULT","0903 0431 1222 0443",48,"M","H",124,"BUS STOP",500,"UNKNOWN WEAPON/OTHER WEAPON","AO ","Adult Other",625,903,NULL,NULL,"VANOWEN","LANKERSHIM","0101000020E6100000302AA913D0985DC046B6F3FDD4184140",91605,"north-hollywood","123205",23,"-118.3877","34.194","other assault"
"190712968","2019-06-29 00:00:00","2019-06-28 00:00:00","2045",NULL,"Wilshire",727,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0400 1402 0416 0903 2057 1528 1822",51,"M","W",101,"STREET",500,"UNKNOWN WEAPON/OTHER WEAPON","AO ","Adult Other",230,946,NULL,NULL,"3RD","LA BREA","0101000020E6100000BC74931804965DC0E25817B7D1084140",90036,"hancock-park","214100",119,"-118.344","34.0689","assault with a deadly weapon"
"191712112","2019-06-27 00:00:00","2019-06-27 00:00:00","2200",NULL,"Devonshire",1799,624,"BATTERY - SIMPLE ASSAULT","2036 0429 0416 0444 0334 0903",29,"M","O",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC ","Invest Cont",624,NULL,NULL,NULL,"15700 PARTHENIA ST",NULL,"0101000020E6100000D8F0F44A599E5DC0A1D634EF381D4140",91343,"north-hills","117404",111,"-118.4742","34.2283","assorted assault"
"191415122","2019-06-25 00:00:00","2019-06-25 00:00:00","1030",NULL,"Pacific",1444,761,"BRANDISH WEAPON","0903 0919 0334 1310 2035 0432 1240 1822",56,"F","A",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC ","Invest Cont",761,NULL,NULL,NULL,"WASHINGTON BL","ABBOT KINNEY BL","0101000020E6100000F7E461A1D69C5DC09F3C2CD49AFE4040",90292,"venice","274100",68,"-118.4506","33.9891","threats"
"190116753","2019-06-24 00:00:00","2019-06-24 00:00:00","1834",NULL,"Central",161,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED","1906 1912 0903 0421 1228 2058 1510",19,"M","H",406,"OTHER STORE",500,"UNKNOWN WEAPON/OTHER WEAPON","IC ","Invest Cont",930,NULL,NULL,NULL,"700 S FIGUEROA ST",NULL,"0101000020E6100000F7E461A1D6905DC0CA32C4B12E064140",90017,"downtown","207710",52,"-118.2631","34.0483","threats"
"190315353","2019-06-22 00:00:00","2019-06-22 00:00:00","1020",NULL,"Southwest",362,761,"BRANDISH WEAPON","1822 0334 1309 0903 2036 2055 0400 1516",35,"M","H",101,"STREET",219,"SCREWDRIVER","IC ","Invest Cont",761,930,NULL,NULL,"MARTIN LUTHER KING JR","HILLCREST","0101000020E61000006EA301BC05965DC060764F1E16024140",90008,"baldwin-hillscrenshaw","236203",79,"-118.3441","34.0163","threats"
"190315352","2019-06-22 00:00:00","2019-06-22 00:00:00","1020",NULL,"Southwest",362,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1822 0334 0903 2036 2055 0400 1309 1516",31,"M","H",101,"STREET",219,"SCREWDRIVER","IC ","Invest Cont",230,NULL,NULL,NULL,"MARTIN LUTHER KING JR","HILLCREST","0101000020E61000006EA301BC05965DC060764F1E16024140",90008,"baldwin-hillscrenshaw","236203",79,"-118.3441","34.0163","assault with a deadly weapon"
"190116529","2019-06-22 00:00:00","2019-06-21 00:00:00","2230",NULL,"Central",164,624,"BATTERY - SIMPLE ASSAULT","0400 2004 0903 2055 1520",56,"M","W",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA ","Adult Arrest",624,NULL,NULL,NULL,"7TH ST","MAIN ST","0101000020E6100000C7BAB88D06905DC05AF5B9DA8A054140",90014,"downtown","207302",52,"-118.2504","34.0433","assorted assault"
"190116411","2019-06-20 00:00:00","2019-06-20 00:00:00","1045",NULL,"Central",148,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1402 2004 0421 0319 1510 1239 0903 1822 2058",52,"F","B",517,"MISSIONS/SHELTERS",512,"MACE/PEPPER SPRAY","AA ","Adult Arrest",230,998,NULL,NULL,"400 S SAN PEDRO ST",NULL,"0101000020E6100000643BDF4F8D8F5DC012143FC6DC054140",90013,"downtown","206200",52,"-118.243","34.0458","assault with a deadly weapon"
"191112372","2019-06-21 00:00:00","2019-06-20 00:00:00","2100",NULL,"Northeast",1171,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0903 0329",44,"M","H",501,"SINGLE FAMILY DWELLING",NULL,NULL,"IC ","Invest Cont",745,946,NULL,NULL,"1700 GRIFFITH PARK BL",NULL,"0101000020E61000002041F163CC915DC04ED1915CFE0B4140",90026,"silver-lake","195400",38,"-118.2781","34.0937","vandalism"
"191711572","2019-06-18 00:00:00","2019-06-18 00:00:00","1245",NULL,"Devonshire",1757,946,"OTHER MISCELLANEOUS CRIME","0903 0443 1202 0319",61,"M","B",102,"SIDEWALK",NULL,NULL,"IC ","Invest Cont",946,NULL,NULL,NULL,"16800 DEVONSHIRE ST",NULL,"0101000020E61000001D5A643BDF9F5DC0295C8FC2F5204140",91344,"granada-hills","111400",118,"-118.498","34.2575","miscellaneous crimes"
"190116259","2019-06-18 00:00:00","2019-06-17 00:00:00","2000",NULL,"Central",111,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0903 2055 1514 0329 2036 2035",51,"F","W",122,"VEHICLE, PASSENGER/TRUCK",NULL,NULL,"IC ","Invest Cont",740,946,NULL,NULL,"900 N BROADWAY",NULL,"0101000020E6100000E5F21FD26F8F5DC01D5A643BDF074140",90012,"chinatown","207102",46,"-118.2412","34.0615","vandalism"
"190700732","2019-06-17 00:00:00","2019-06-17 00:00:00","1145",NULL,"Wilshire",702,624,"BATTERY - SIMPLE ASSAULT","0356 2004 2056 1520 0903",33,"M","W",102,"SIDEWALK",500,"UNKNOWN WEAPON/OTHER WEAPON","IC ","Invest Cont",624,NULL,NULL,NULL,"W MELROSE AV","N VISTA ST","0101000020E6100000AD69DE718A965DC009F9A067B30A4140",90046,"fairfax","192002",58,"-118.3522","34.0836","assorted assault"
"190315014","2019-06-17 00:00:00","2019-06-16 00:00:00","2240",NULL,"Southwest",398,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0903 2055 1514 1309 0416 0319 0329",30,"F","B",101,"STREET",307,"VEHICLE","IC ","Invest Cont",230,NULL,NULL,NULL,"VERNON","FIGUEROA","0101000020E610000012A5BDC117925DC0637FD93D79004140",90037,"vermont-square","231720",109,"-118.2827","34.0037","assault with a deadly weapon"
"190315015","2019-06-17 00:00:00","2019-06-16 00:00:00","2240",NULL,"Southwest",398,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0903 2055 1514 1309 0416 0319",22,"F","B",101,"STREET",307,"VEHICLE","IC ","Invest Cont",230,NULL,NULL,NULL,"VERNON","FIGUEROA","0101000020E610000012A5BDC117925DC0637FD93D79004140",90037,"vermont-square","231720",109,"-118.2827","34.0037","assault with a deadly weapon"
"190712245","2019-06-16 00:00:00","2019-06-16 00:00:00","0245",NULL,"Wilshire",722,624,"BATTERY - SIMPLE ASSAULT","2058 1536 1414 0400 0417 0903",32,"M","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC ","Invest Cont",624,946,NULL,NULL,"3RD ST","LA CIENEGA BL","0101000020E61000006ABC749318985DC061C3D32B65094140",90048,"beverly-grove","214902",58,"-118.3765","34.0734","assorted assault"
